Id,Merchant Name,Merchant State,Program Area,Transaction Date,Payment Date,Transaction Amount,Item Description,Purchase Amount,Purchase Type,Annual Bid Number,Reference Number,Allocation Id
293866,NAPA STORE 3600001,CO,PUBLIC WORKS - PWOPS,12/8/2016,1/9/2017,9.17,"Ribbed Belt, Inv#181018",Automotive Parts and Accessories Stores,ANNUAL BID,5951L0216,1413427533800038533016121101461500000000236975    ,1
293867,TESSCO TECHNOLOGIES,MD,TECHNOLOGY SERVICES - EAPPS,12/16/2016,1/9/2017,67.8,RG58 Die Set,Electrical Parts and Equipment,ANNUAL BID,0570A0114,1413427533800042902116121802512700000002192412    ,1
293868,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,12/11/2016,1/9/2017,277.13,reynolds wrap COJL,"Office, School Supply, and Stationery Stores",ANNUAL BID,5954L0116,1413427533000266258416121201619800000001722742    ,1
293869,KING SOOPERS #0001,CO,DEPT OF FINANCE - TREAS,12/13/2016,1/9/2017,29.95,"Rewards & Recognition, DOF CFO",Grocery Stores and Supermarkets,PCARD,,1413427533800043226416121401979600000001219955    ,2
293870,SAMSCLUB #6632,CO,DEPT OF FINANCE - TREAS,12/12/2016,1/9/2017,113.8,"Rewards & Recognition, DOF CFO",Wholesale Clubs,PCARD,,1413427533800043226416121301796900000001204321    ,1
293871,GRAYBAR ELECTRIC COMPANY,MO,TECHNOLOGY SERVICES - EAPPS,12/9/2016,1/9/2017,-23.67,return wrong cable CC project,Electrical Parts and Equipment,ANNUAL BID,5761U0110,1413427533000240472216121101461500000000013032_C  ,1
293872,THE HOME DEPOT #1505,CO,PARKS AND REC - PARKS,11/28/2016,1/9/2017,-266.28,RETURN TOOLS,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533800032785216113004302500000000576236_C  ,1
293873,STAPLS0151444087001001,TX,PARKS AND REC - PARKS,12/16/2016,1/9/2017,-179.85,return office chairs,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240383116121802512700000001786242_C  ,2
293874,OFFICE DEPOT #2137,CO,PARKS AND REC - PARKS,12/16/2016,1/9/2017,-88.87,return of phone cover and case,"Office, School Supply, and Stationery Stores",PCARD,,1413427533000309793916121802587600000000276488_C  ,1
293875,WW GRAINGER,PA,PARKS AND REC - PARKS,12/14/2016,1/9/2017,-148.78,Return of Fittings for Air Compressor to Pumpstation,Industrial Supplies - Not Elsewhere Classified,ANNUAL BID,5836S0112,1413427533000240412816122002851500000000550636_C  ,2
293876,STAPLS7167727586001001,TX,HUMAN SERVICES - SOCSV,12/20/2016,1/9/2017,-3.75,return 16 oz paint,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240548916122103028900000001149403_C  ,1
293877,STAPLS7164962948005001,TX,GENERAL SERVICE ADMIN - GSFPM,12/1/2016,1/9/2017,-16.86,Return,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5954L0112,1413427533000310286116120200234900000001687950_C  ,1
293878,STAPLS7165519037004001,TX,GENERAL SERVICE ADMIN - GSFPM,11/30/2016,1/9/2017,-169.58,Return,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5954L0112,1413427533000310286116120100055600000001613772_C  ,1
293879,STAPLS7167511304000003,TX,PARKS AND REC - PARKS,12/10/2016,1/9/2017,33.48,retractable pens,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240401116121201619800000000072077    ,1
293880,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,12/1/2016,1/9/2017,44.41,retractable heavy duty steel badge holders,"Office, School Supply, and Stationery Stores",ANNUAL BID,5595N0116,1413427533000240498716120200234900000002279585    ,1
293881,RR DONNELLEY-PAYMETRIC,NV,CUSTOMER INFO SERVICES - TVSVC,12/9/2016,1/9/2017,478,Retractable Banner,Miscellaneous Publishing and Printing,PCARD,,1413427533000317079316121101461500000002212976    ,1
293882,PERMA-GRAPHICS,CO,SHERIFF DEPARTMENT - SHERF,12/13/2016,1/9/2017,110,"retirement plaques Kirk Fouts, sr and Steven Carlson",Miscellaneous Publishing and Printing,PCARD,,1413427533800034240616121401979600000000003566    ,1
293883,STAPLS7167733667000001,TX,AUDITORS OFFICE - AUDIT,12/20/2016,1/9/2017,17.19,Resume Ivory Paper,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595U0106,1413427533800040754816122103028900000001149719    ,1
293884,AIRGAS CENTRAL,OK,PUBLIC WORKS - PWOPS,11/28/2016,1/9/2017,87.18,respirator filters and masks,Chemicals and Allied Products - Not Elsewhere Classified,PCARD,,1413427533800030140216112904126900000001106351    ,1
293885,AIRGAS CENTRAL,OK,PUBLIC WORKS - PWOPS,11/28/2016,1/9/2017,70.25,respirator,Chemicals and Allied Products - Not Elsewhere Classified,PCARD,,1413427533800030140216112904126900000001106347    ,1
293886,SALSBURY INDUSTRIES,CA,PARKS AND REC - PARKS,12/14/2016,1/9/2017,199.74,resettable combination locks,Commercial Equipment - Not Elsewhere Classified,PCARD,,1413427533800044889816121502163300000001687614    ,1
293887,CERTIFIED CLEANING SUPPLY,CO,PARKS AND REC - PARKS,12/6/2016,1/9/2017,231,replacement vacuum for center,Chemicals and Allied Products - Not Elsewhere Classified,PCARD,,1413427533800031235916120700921200000001200337    ,3
293888,STAPLS7166663139000002,TX,PARKS AND REC - PARKS,11/29/2016,1/9/2017,32.38,"replacement stripwasher, orig stripwashers","Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5954L0116,1413427533000240378116113004302500000001281548    ,1
293889,WW GRAINGER,PA,THEATERS AND ARENAS - THTRS,12/20/2016,1/9/2017,1033.41,replacement pin and sleeve materials for broken stuff,Industrial Supplies - Not Elsewhere Classified,ANNUAL BID,5933U0106,1413427533000240589316122103028900000001721425    ,1
293890,HEARTSMART.COM,CT,WASTEWATER - PWWMD,12/13/2016,1/9/2017,512,Replacement Pads for AED's,DENTAL/LAB/MED/OPHTHALMIC HOSP EQUIP & SUPPLIES,PCARD,,1413427533000276646816121401979600000000782673    ,1
293891,EJ USA DENVER,CO,THEATERS AND ARENAS - THTRS,11/30/2016,1/9/2017,83.19,replacement of brokent valve box riser for Red Rock Amphitheatre,Durable Goods - Not Elsewhere Classified,PCARD,,DEF1633613863775                                  ,1
293892,JOHNSTONE SUPPLY OF DENVE,CO,THEATERS AND ARENAS - THTRS,11/25/2016,1/9/2017,197.4,replacement motor for TP boiler,Hardware Stores,PCARD,,DEF1633313529026                                  ,1
293893,GRAYBAR ELECTRIC COMPANY,MO,PUBLIC WORKS - PWOPS,12/13/2016,1/9/2017,205.64,replacement headset for phone - B. Aragon,Electrical Parts and Equipment,PCARD,,1413427533000240437516121401979600000000007457    ,1
293894,WM SUPERCENTER #5957,CO,FIRE DEPARTMENT - FIRES,12/15/2016,1/9/2017,98,replacement door monitor,Grocery Stores and Supermarkets,PCARD,,1413427533800045668516121602343600000001801695    ,1
293895,THE HOME DEPOT #1520,CO,PARKS AND REC - PARKS,12/8/2016,1/9/2017,11.84,"replacement blades for box cutter, replacement cord for stereo",Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533800031235916121101461500000000679884    ,2
293896,ULINE   SHIP SUPPLIES,WI,SHERIFF DEPARTMENT - SHERF,11/26/2016,1/9/2017,120,replacement bag for janitor cart,Direct Marketing - Catalog Merchants,PCARD,,1413427533800031377916112703798500000000869072    ,1
293897,BSN SPORT SUPPLY GROUP,TX,PARKS AND REC - PARKS,12/19/2016,1/9/2017,81.99,replacement air compressor for balls,"Mens, Womens, and Childrens Uniforms and Commercial Clothing",PCARD,,1413427533800031235916122002851500000000881683    ,2
293898,ZONAR SYSTEMS INC,WA,PUBLIC WORKS - PWOPS,12/21/2016,1/9/2017,1988.8,Replacement 2020 Zonar Tablets,Business Services - Not Elsewhere Classified,PCARD,,1413427533800040863716122203213300000001838545    ,1
293899,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,11/28/2016,1/9/2017,312.22,replace windshield unit #T4343 invoice #162306,Automotive Service Shops (Non-Dealer),PCARD,,DEF1633413337144                                  ,1
293900,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,11/28/2016,1/9/2017,312.22,replace windshield unit #T4314invoice #162484,Automotive Service Shops (Non-Dealer),PCARD,,DEF1633413337145                                  ,1
293901,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,727.18,"replace windshield unit #'s A3023,T4427,T4429 inv #'s 163605,163631,163697",Automotive Service Shops (Non-Dealer),ANNUAL BID,5652S0115,DEF1635513474171                                  ,1
293902,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/14/2016,1/9/2017,408.12,replace windshield unit #L6848 invoice #163340,Automotive Service Shops (Non-Dealer),PCARD,,DEF1635014418437                                  ,1
293903,GCR TIRES #726,CO,PUBLIC WORKS - PWOPS,12/14/2016,1/9/2017,204,REPAIRS.....726-158995,Automotive Tire Stores,ANNUAL BID,5652S0113,1413427533800042777716121602343600000001993203    ,1
293904,GCR TIRES #726,CO,PUBLIC WORKS - PWOPS,12/14/2016,1/9/2017,231.98,REPAIRS.....726-158994,Automotive Tire Stores,ANNUAL BID,5652S0113,1413427533800042777716121602343600000001993199    ,1
293905,PREMIUM AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/6/2016,1/9/2017,39.95,REPAIRS.....5-203263,Automotive Service Shops (Non-Dealer),ANNUAL BID,5692S0215,1413427533800042777716120801103700000001117732    ,1
293906,HYDRAQUIP DISTRIBUTION IN,TX,PUBLIC WORKS - PWOPS,12/12/2016,1/9/2017,26.81,repairs.....3311859,Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533800042777716121401979600000000423045    ,1
293907,A&E TIRE,CO,PUBLIC WORKS - PWOPS,12/13/2016,1/9/2017,256.7,REPAIRS.....260680,Automotive Tire Stores,ANNUAL BID,5652S0313,1413427533800042777716121401979600000001305798    ,1
293908,PREMIUM AUTO GLASS INC,CO,PUBLIC WORKS - PWOPS,12/14/2016,1/9/2017,39.95,REPAIRS.....1-20794,Automotive Service Shops (Non-Dealer),ANNUAL BID,5692S0215,1413427533800042777716121602343600000001151260    ,1
293909,C AND M AIR COOLED ENG,TX,PUBLIC WORKS - PWOPS,12/5/2016,1/9/2017,54,REPAIRS UNIT SQ40  W/O 9983519  INVOICE 343463,LAWN AND GARDEN SUPPLY STORES,PCARD,,DEF1634213938261                                  ,1
293910,A AND E TIRE HARVEYS,CO,PUBLIC WORKS - PWOPS,12/6/2016,1/9/2017,209.95,REPAIRS UNIT \SV36  W/O 9988350  INVOICE 259007-00,Tire Retreading and Repair Shops,PCARD,,DEF1634213938262                                  ,1
293911,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/6/2016,1/9/2017,179.68,repair windshield invoice #162942,Automotive Service Shops (Non-Dealer),PCARD,,DEF1634213938442                                  ,1
293912,C AND M AIR COOLED ENG,TX,PUBLIC WORKS - PWOPS,11/30/2016,1/9/2017,74.32,REPAIR UNIT SQ43 W/O 9987697 INVOICE 344757,LAWN AND GARDEN SUPPLY STORES,PCARD,,DEF1633714229149                                  ,1
293913,AN CHEVROLET NORTH,CO,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,860,REPAIR UNIT BL33 W/O 9988865 INVOICE 765546,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",PCARD,,DEF1635513474026                                  ,1
293914,L.L. JOHNSON DIST,CO,PUBLIC WORKS - PWOPS,11/29/2016,1/9/2017,223.66,REPAIR PARTS UNIT SQ33 INVOICE 173072400,Hardware Stores,ANNUAL BID,0195A0414,1413427533800041999816113004302500000001401849    ,1
293915,TRANSWEST TRUCKS,CO,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,70.22,Repair parts Invoice # 009p74078,Automotive Parts and Accessories Stores,ANNUAL BID,0667A0413,1413427533000240425016122002851500000000387909    ,2
293916,RMD CONCEPTS INC,CO,PARKS AND REC - PARKS,12/7/2016,1/9/2017,179.85,repair parts for goosinators,Exterminating and Disinfecting Services,PCARD,,1413427533000240604016120901288600000001514558    ,2
293917,DBC IRRIGATION SUPPLY   S,CO,PARKS AND REC - PARKS,11/30/2016,1/9/2017,133.16,repair parts for 4 inch,Landscaping and Horticultural Services,ANNUAL BID,5821M0216,1413427533000240395516120200234900000000426076    ,2
293918,LONGERO,CO,PUBLIC WORKS - PWOPS,12/9/2016,1/9/2017,395,repair of the impactor door,Construction Materials - Not Elsewhere Classified,PCARD,,1413427533800030140216121101461500000001217218    ,1
293919,DENVER CONCRETE VIBRATOR,CO,WASTEWATER - PWWMD,12/19/2016,1/9/2017,314.78,Repair of concrete vibrator,Construction Materials - Not Elsewhere Classified,PCARD,,1413427533000240518216122002851500000000302549    ,1
293920,CENTURION TOOL   SUPPL,CO,WASTEWATER - PWWMD,12/20/2016,1/9/2017,1970.48,"Repair Hydrocutter 4,11,13,52",Business Services - Not Elsewhere Classified,PCARD,,DEF1635613660472                                  ,1
293921,H20 POWER EQUIPMENT,CO,PUBLIC WORKS - PWOPS,12/22/2016,1/9/2017,289.1,Repair and parts to hotsy at the dumpster shop,"Hardware, Equipment and Supplies",PCARD,,1413427533800045064716122303395900000000730393    ,1
293922,L.L. JOHNSON DIST,CO,PARKS AND REC - PARKS,12/9/2016,1/9/2017,1640,Repair and calibration of weather station,Hardware Stores,ANNUAL BID,0622A0113,1413427533000240398916121101461500000001464334    ,3
293923,ONLY DIESELS,CO,PUBLIC WORKS - PWOPS,12/12/2016,1/9/2017,50,REPAIR  UNIT FL57  W/O 9988512  INVOICE 742IWD,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",PCARD,,1413427533000335418116121301796900000000805091    ,1
293924,FOOTHILLS AUTO PARTS,CO,PARKS AND REC - PARKS,12/2/2016,1/9/2017,27.99,rep and main,Automotive Parts and Accessories Stores,ANNUAL BID,5951L0216,1413427533000258440816120400407900000001470043    ,2
293925,ELDORADO ARTESIAN SPRINGS,CO,THEATERS AND ARENAS - THTRS,12/12/2016,1/9/2017,84.5,rental of water dispenser and bottles of water for Denver Coliseum,Direct Marketing - Other Direct Marketers,PCARD,,1413427533800026797516121301796900000001317401    ,1
293926,THE HOME DEPOT #1522,CO,THEATERS AND ARENAS - THTRS,11/28/2016,1/9/2017,107.9,rental of demo saw for TP valve search,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000240589316113004302500000000574486    ,1
293927,THE HOME DEPOT #1522,CO,THEATERS AND ARENAS - THTRS,11/29/2016,1/9/2017,1,rental of demo saw for TP valve search,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000240589316120100055600000000587620    ,1
293928,THE HOME DEPOT #1522,CO,THEATERS AND ARENAS - THTRS,11/30/2016,1/9/2017,107.9,rental of demo saw for TP valve search,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000240589316120200234900000000959874    ,1
293929,DENVER POST CIRCULATION,CO,CITY COUNCIL - CCOUN,11/30/2016,1/9/2017,138.5,renewal of Denver Post subscription for M-F delievery,Direct Marketing - Continuity/Subscription Merchants,PCARD,,1413427533800034354516120200234900000001179196    ,1
293930,ADOBE  ID CREATIVE CLD,CA,ENVIRONMENTAL HEALTH - ENVHL,12/10/2016,1/9/2017,239.88,Renewal for Adobe Creative Cloud Subscription,Computer Software Stores,,,1413427533000299416916121201619800000000254280    ,1
293931,MAILCHIMP,GA,DENVER PUBLIC LIBRARY - BOOKS,12/3/2016,1/9/2017,57.38,RENEWAL,Business Services - Not Elsewhere Classified,PCARD,,DEF1634014975980                                  ,1
293932,NINITE.COM,CA,DENVER PUBLIC LIBRARY - BOOKS,12/11/2016,1/9/2017,275,RENEWAL,Computer Software Stores,PCARD,,DEF1634813517857                                  ,1
293933,SCREENLY,DE,DENVER PUBLIC LIBRARY - BOOKS,12/5/2016,1/9/2017,99.95,RENEWAL,Electronic Sales,PCARD,,1413427533000308658516120600742500000001608935    ,1
293934,ZAPIER.COM/CHARGE,CA,DENVER PUBLIC LIBRARY - BOOKS,12/13/2016,1/9/2017,17,RENEWAL,Computer Software Stores,PCARD,,1413427533000308658516121401979600000001588405    ,1
293935,INSTITUTE OF TRANSPORTATI,DC,PUBLIC WORKS - PWOPS,12/20/2016,1/9/2017,294.28,Renew E. Glockener membership due for Institute of Transportation Engineer,Business Services - Not Elsewhere Classified,PCARD,,DEF1635613656197                                  ,1
293936,US COURT-DIST OF CO,CO,CITY ATTORNEY - ATTNY,11/29/2016,1/9/2017,400,Removal Fee for Thomas Howard Lawsuit 16cv02893,"Court Costs, Including Alimony and Child Support",,,1413427533800034299216113004302500000001719751    ,0
293937,GULFSTREAM MEDIA LLC,FL,DEPT OF FINANCE - TREAS,12/19/2016,1/9/2017,99,"Remote Pilot 101 Course, April Hansen, CRCFD",Schools and Educational Services - Not Elsewhere Classified,PCARD,,1413427533800043226416122103028900000000642852    ,1
293938,FRONT RANGE FIRE APPARATU,CO,PUBLIC WORKS - PWOPS,12/20/2016,1/9/2017,1915.31,"Reman Gear, Inv#56323",Miscellaneous and Specialty Retail Stores,ANNUAL BID,0228Z0116,1413427533800038533016122103028900000001075933    ,1
293939,CONSOLIDATED PARTS INC-CL,CO,THEATERS AND ARENAS - THTRS,11/30/2016,1/9/2017,80.36,relays for lift pump control at RR EQ basin,Electrical Parts and Equipment,PCARD,,1413427533000240589316120200234900000001137958    ,1
293940,E & G TERMINAL,CO,PUBLIC WORKS - PWOPS,12/20/2016,1/9/2017,25.5,"Relay, Inv#5238001",Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533800038533016122103028900000001099362    ,1
293941,THE LIGHTHOUSE,CO,PUBLIC WORKS - PWOPS,12/12/2016,1/9/2017,40.84,RELAY MODULE                  INV 0341885,"Hardware, Equipment and Supplies",PCARD,,DEF1635014418247                                  ,1
293942,FRONT RANGE FIRE APPARATU,CO,PUBLIC WORKS - PWOPS,12/20/2016,1/9/2017,159.95,"Regulator, Slide, Inv#56215",Miscellaneous and Specialty Retail Stores,ANNUAL BID,0228Z0116,1413427533800038533016122103028900000001075949    ,1
293943,TRANSWEST TRUCKS,CO,PUBLIC WORKS - PWOPS,12/6/2016,1/9/2017,9.76,"Regulator Harness, Inv#009P76912",Automotive Parts and Accessories Stores,ANNUAL BID,0667A0413,1413427533800038533016120700921200000000894888    ,1
293944,EB COLORADO END-OF-LI,CA,HUMAN SERVICES - SOCSV,12/19/2016,1/9/2017,150,Registration for Training for Program Manager,Business Services - Not Elsewhere Classified,PCARD,,1413427533000240557016122002851500000000387913    ,1
293945,RMHRPS,CO,CAREER SERVICE AUTH. - CSAHR,12/13/2016,1/9/2017,35,Registration fee for 1/10/17 RMHRPS meeting,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",PCARD,,1413427533000300864716121401979600000001274822    ,2
293946,AMERICAN RED CROSS,DC,POLICE DEPARTMENT - POLIC,12/14/2016,1/9/2017,816,registration,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",PCARD,,DEF1635014422316                                  ,1
293947,PAYPAL  DENVERISACA,CA,AUDITORS OFFICE - AUDIT,11/30/2016,1/9/2017,20,Registered S. Kuhn to ISACA Training Session,Schools and Educational Services - Not Elsewhere Classified,PCARD,,1413427533800040754816120100055600000000891283    ,1
293948,PAYPAL  DENVERISACA,CA,AUDITORS OFFICE - AUDIT,12/1/2016,1/9/2017,20,Registered for ISACA Chapter Meeting-K. Doughty,Schools and Educational Services - Not Elsewhere Classified,PCARD,,1413427533800040754816120200234900000001320476    ,1
293949,STAPLS7166247627002001,TX,PARKS AND REC - PARKS,12/8/2016,1/9/2017,-44.99,Refund-Gold Hi-Wall box lids,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240363316120901288600000001727867_C  ,2
293950,AMAZON.COM,WA,ENVIRONMENTAL HEALTH - ENVHL,12/1/2016,1/9/2017,-514.95,"Refunded my card for Ergotron work surface, no idea why Amazon refunded.",Book Stores,PCARD,,1413427533000242616216120200234900000001150580_C  ,1
293951,AMAZON MKTPLACE PMTS,WA,ENVIRONMENTAL HEALTH - ENVHL,12/11/2016,1/9/2017,-17.35,Refunded due to error in online description.,Book Stores,PCARD,,1413427533000242616216121101540000000001608754_C  ,1
293952,TREE STUFF.COM,IN,PARKS AND REC - PARKS,12/15/2016,1/9/2017,-29.7,Refund/discount safety tools,Landscaping and Horticultural Services,PCARD,,1413427533000240373216121802512700000000900402_C  ,2
293953,TREE STUFF.COM,IN,PARKS AND REC - PARKS,12/21/2016,1/9/2017,-21.34,"refund, company gave us a discount on product",Landscaping and Horticultural Services,PCARD,,1413427533000240373216122303395900000001090979_C  ,1
293954,PAYPAL  PARENTING S,CO,DENVER PUBLIC LIBRARY - BOOKS,12/16/2016,1/9/2017,-3.2,REFUND SALES TAX,"Colleges,Universities,Professional Schools & Colleges",PCARD,,1413427533000258391316121802512700000001331557_C  ,1
293955,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/12/2016,1/9/2017,-250,REFUND REF ORIGINAL INV 157100,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,DEF1634813512446                                  ,1
293956,CHIPOTLE 0032,CO,PARKS AND REC - PARKS,12/3/2016,1/9/2017,-23.17,refund programming activity saturday challengers excursion,Fast Food Restaurants,PCARD,,DEF1634014970398                                  ,3
293957,AMAZONPRIME MEMBERSHIP,WA,PARKS AND REC - PARKS,11/29/2016,1/9/2017,-10.99,Refund Prime membership,Direct Marketing - Continuity/Subscription Merchants,PCARD,,1413427533000241857316113004302500000000659473_C  ,1
293958,PAYPAL  WESTERNNATI,CO,PARKS AND REC - PARKS,12/5/2016,1/9/2017,-0.23,refund on taxes charged,LAWN AND GARDEN SUPPLY STORES,PCARD,,1413427533000240710516120600742500000000859161_C  ,1
293959,THE HOME DEPOT #1502,CO,PARKS AND REC - PARKS,12/6/2016,1/9/2017,-5.04,Refund on Overpayment from last month drain camera overcharged,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000240397116120801103700000000933749_C  ,1
293960,WAYFAIR WAYFAIR SUPPLY,MA,PARKS AND REC - PARKS,12/12/2016,1/9/2017,-300,refund on office chairs and lobby furniture,Direct Marketing - Combination Catalog and Retail Merchants,PCARD,,1413427533000240367416121301796900000000673801_C  ,3
293961,STAPLS7167366920003001,TX,PUBLIC WORKS - PWOPS,12/9/2016,1/9/2017,-15.47,Refund office supplies,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595U0111,1413427533000240435916121101461500000001796245_C  ,1
293962,SIGNS BY TOMORROW,CO,PUBLIC WORKS - PWOPS,11/28/2016,1/9/2017,-19.3,Refund of tax that was chatged in error last month,Miscellaneous and Specialty Retail Stores,PCARD,,1413427533000240435916112904126900000001247918_C  ,1
293963,MICRO CENTER #181 RETAIL,CO,PARKS AND REC - PARKS,12/2/2016,1/9/2017,-34.98,Refund of hdmi cord and cable,Computer Software Stores,PCARD,,1413427533000240375716120400485700000000243986_C  ,2
293964,COWBOY METAL PRODUCTS,CO,PUBLIC WORKS - PWOPS,12/19/2016,1/9/2017,-376.4,REFUND FROM VENDOR ON PARTS WE NEVER ORDERD UNIT WAS BZ17 AND BZ16,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",PCARD,,1413427533000335418116122303395900000001157447_C  ,1
293965,WHOLEFDS TMC 10207,CO,CITY COUNCIL - CCOUN,12/15/2016,1/9/2017,-16,Refund for Whole Foods transaction,Grocery Stores and Supermarkets,PCARD,,DEF1635414938465                                  ,1
293966,GUIRY'S,CO,PARKS AND REC - PARKS,12/1/2016,1/9/2017,-882.35,refund for taxes charged,"Glass, Paint, Wallpaper Stores",PCARD,,1413427533000240395516120200234900000001478494_C  ,2
293967,WAL-MART #5957,CO,PARKS AND REC - PARKS,12/6/2016,1/9/2017,-128,Refund for taxes being charged,Grocery Stores and Supermarkets,PCARD,,1413427533800044477216120901288600000000725670_C  ,2
293968,EINSTEIN BROS-ONLINE CAT,CO,HUMAN SERVICES - SOCSV,12/3/2016,1/9/2017,-9.36,refund for tax added to Einstein's order,"Eating Places, Restaurants",PCARD,,DEF1634014974700                                  ,1
293969,KITCHENRESTOCK COM,FL,DEPT OF FINANCE - TREAS,12/5/2016,1/9/2017,-39.95,Refund for stanchions,Commercial Equipment - Not Elsewhere Classified,PCARD,,1413427533000276608816121101461500000000670904_C  ,1
293970,THE HOME DEPOT #1519,CO,PARKS AND REC - PARKS,12/9/2016,1/9/2017,-25.83,Refund for some exhibit construction supplies - brackets,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000240372416121101540000000000290826_C  ,1
293971,STAPLS7166591116003001,TX,PARKS AND REC - PARKS,12/16/2016,1/9/2017,-193.99,refund for silk grass pad,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800044889816121802512700000001786262_C  ,1
293972,"HYDROTEX PARTNERS, LTD",TX,PARKS AND REC - PARKS,12/1/2016,1/9/2017,-57.91,Refund For Sales Tax,Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533000240412816120200234900000002087502_C  ,1
293973,"HYDROTEX PARTNERS, LTD",TX,PARKS AND REC - PARKS,12/1/2016,1/9/2017,-12.23,Refund For Sales Tax,Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533000240412816120200234900000002087506_C  ,1
293974,THE HOME DEPOT #1519,CO,PARKS AND REC - PARKS,12/20/2016,1/9/2017,-88.26,REfund for returned air registers,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000240372416122203213300000000555095_C  ,1
293975,STAPLS7167257960001001,TX,CITY COUNCIL - CCOUN,12/8/2016,1/9/2017,-2.06,refund for return of pen refill,"Stationery, Office Supplies, Printing and Writing Paper",PCARD,,1413427533000240527316120901288600000001727871_C  ,1
293976,WAL-MART #3533,CO,PARKS AND REC - PARKS,11/28/2016,1/9/2017,-5.21,Refund for return,Grocery Stores and Supermarkets,PCARD,,1413427533800034415416120100055600000000632274_C  ,1
293977,WAL-MART #3533,CO,PARKS AND REC - PARKS,11/28/2016,1/9/2017,-26.82,Refund for return,Grocery Stores and Supermarkets,PCARD,,1413427533800034415416120100055600000000632279_C  ,1
293978,SQ  JON WIDMARK,CO,THEATERS AND ARENAS - THTRS,11/23/2016,1/9/2017,-30.2,Refund for previous error,Miscellaneous and Specialty Retail Stores,PCARD,,DEF1633714230594                                  ,1
293979,SQ  JON WIDMARK,CO,THEATERS AND ARENAS - THTRS,11/23/2016,1/9/2017,-30.2,Refund for previous error,Miscellaneous and Specialty Retail Stores,PCARD,,DEF1633714230595                                  ,1
293980,SQ  JON WIDMARK,CO,THEATERS AND ARENAS - THTRS,11/23/2016,1/9/2017,-103.9,Refund for previous error,Miscellaneous and Specialty Retail Stores,PCARD,,DEF1633714230596                                  ,1
293981,STAPLS7163568553005001,TX,HUMAN SERVICES - SOCSV,12/14/2016,1/9/2017,-144.16,Refund for office supplies sent in error by vendor,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800037803816121502163300000001600742_C  ,1
293982,STAPLS7167261468001001,TX,PARKS AND REC - PARKS,12/9/2016,1/9/2017,-35.79,refund for office supplies never received,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000240710516121101461500000001796249_C  ,1
